NodeObject(10,6,18,1,69,4,0,12,0.6760350721816034)
NodeObject(6,5,15,1,18,2,6,0,0.5357260964258204)
NodeObject(0,5,17,1,11,2,1,4,0.010068705151044188)
NodeObject(5,2,2,1,12,4,0,13,0.019922394999510318)
NodeObject(9,3,13,1,43,2,5,16,0.2778451737845121)
NodeObject(2,5,6,1,40,0,6,3,0.7522632833215851)
NodeObject(4,6,0,1,62,0,2,8,0.7115102548257165)
NodeObject(3,4,13,1,82,2,6,15,0.4872038665267635)
NodeObject(7,1,19,1,54,1,6,10,0.1155608662543457)
NodeObject(8,2,5,1,96,4,3,5,0.8319684706253252)
NodeObject(1,4,10,1,91,2,1,19,0.06704735573621634)
